Date,Label,Headline_and_Subtitle,Market_Return
2018-06-25,0,Semiconductor stocks drop on reported investment restrictions on China,-0.0209039158940761
2016-08-19,0,Dividend Investors: Should You Really Be Worried About Multiple Contraction?,-0.0003377803238907
2013-08-07,0,Foster Misses Q2 Earnings Estimates - Analyst Blog,-0.0032080598900006
2017-12-14,0,Steelmaker Blames Profit Warning On Rising Imports Under Trump,-0.0028025858923514
2014-11-03,0,"Goldcorp (GG) Misses Earnings, Revenue Estimates in Q3 - Analyst Blog",0.0017642798907944
2016-07-12,0,"AAR -10% as profits miss, 2017 guidance comes in low",0.0068515039295822
2016-11-17,0,"After Trump Win, Muni Investors Rack Up Losses",0.0074397093135853
2018-12-11,0,"Moody's Downgrades Acadia's (ACHC) Outlook, Affirms Ratings",0.0016110001199747
2018-08-02,0,"Lincoln's (LNC) Q2 Earnings Miss Estimates, Increase Y/Y",0.0123778788472004
2018-12-06,0,Aegion (AEGN) Down 34% Over a Year: What's Hurting the Stock?,0.0041670574569088
2014-05-22,0,American Eagle Tumbles on Dismal Earnings - Analyst Blog,0.0055184760336179
2016-11-10,0,Advanced Emissions Solutions' (ADES) CEO Heath Sampson on Q3 2016 Results - Earnings Call Transcript,-0.0080497919369295
2017-01-31,0,"Stocks Open Lower As Mastercard, Exxon, Harley Slip",0.0001924000585202
2017-11-03,0,"Ameren (AEE) Misses on Q3 Earnings, Narrows '17 Outlook",0.00737162214881
2014-11-25,0,Potash Stocks Hit Hard on Uralkali Mine Restart Reports - Analyst Blog,0.0007066121791761
2015-08-10,0,"AES misses by $0.02, misses on revenue",0.0115513637591404
2015-09-30,0,Baidu Downgraded; Valeant Soars On Analyst Move,0.022765785030294
2015-08-25,0,Deere (DE) to Rise on Improved Housing Market; Risks Remain,-0.0043655930682131
2014-03-18,0,Will Cintas Corporation (CTAS) Miss Earnings? - Analyst Blog,0.0124674028542881
2019-08-07,0,"First Majestic Silver EPS in-line, misses on revenue",0.0037736550023228
2013-05-09,0,Agrium Earnings Decline Amid Weak Fertilizer Market,-0.0012012227666691
2018-10-12,0,What A Lower CPI Tell Us On The Fed And U.S. Markets Outlook,0.022899263586769
2014-07-25,0,Will AGL Resources (GAS) Miss on Q2 Earnings This Season? - Analyst Blog,-0.0050423190343885
2016-08-03,0,"Ashford Hospitality Prime misses by $0.06, misses on revenue",0.0042840425615831
2020-03-20,0,Life Insurers Face Rating Downgrades Due to Coronavirus Fears,-0.0379074222835396
2017-01-19,0,"AK Steel, U.S. Steel slump as Citi downgrades",-0.002802520765785
2013-11-06,0,"United Fire Misses Q3 Earnings, Tops Revs - Analyst Blog",-0.0020077251563066
2011-09-22,0,Mining and Metals Crumble on Global Market Slump,-0.0325113649633056
2018-02-27,0,Amerisafe's (AMSF) Q4 Earnings Miss as Revenues Decline,-0.0122765417802969
2019-03-11,0,How To Increase Return And Control Market Risk With Momentum Stocks,0.0202371876217508
2016-11-04,0,SPY ETF Tests A Key Level As Every S&P Sector Posts A Weekly Loss,-0.0023802022158333
2014-02-10,0,Cigna (CI) in Focus: Stocks Tumbles 9.3% - Tale of the Tape,0.0054073718771454
2018-09-04,0,Market Volatility Bulletin: Will Increased U.S. Debt Levels Cause A Regime Shift For Volatility?,-0.0022553731746066
2015-08-18,0,Wall Street Breakfast: China Stock Plunge Weighs On World Markets,-0.0063534961634292
