date,Label,Manual_Label,수정여부,Headline_and_Subtitle,Headline_KO
2017-02-08,0,2,,"Applied Genetic beats by $0.09, misses on revenue","Applied Genetic은 $0.09 상회, 수익 손실"
2019-08-09,0,2,,"Agenus (AGEN) Q2 Earnings Miss Estimates, Revenues Beat",[번역 실패]
2017-02-23,0,0,,Acadia down 9% after hours on Q4 revenue miss,Acadia는 4분기 수익 손실로 인해 몇 시간 만에 9% 하락했습니다.
2017-01-26,0,0,,Arthur J.Gallagher misses by $0.12,Arthur J.Gallagher가 $0.12만큼 실패
2016-04-26,0,3,,Barrick Gold: Low-Cost Gold (For Now),Barrick Gold: 저가형 금(현재로서는)
2017-01-23,0,0,,Auto parts retailers swing lower on Amazon anxiety,"자동차 부품 소매업체, 아마존 불안에 하락세"
2015-04-28,0,0,,"Alliance Holdings misses by $0.04, misses on revenue","Alliance Holdings는 $0.04 손실, 수익 손실manual_review_samples.csv"
2015-11-19,0,0,,The Vetr community has downgraded $A to 4-Stars,Vetr 커뮤니티는 $A를 4성으로 다운그레이드했습니다.
2016-11-03,0,0,,"AAC Holdings misses by $0.04, misses on revenue","AAC Holdings는 $0.04 손실, 수익 손실"
2018-08-09,0,0,,Farmer Mac slumps after Q2 miss,Farmer Mac은 2분기 실적 부진으로 하락
2015-08-06,0,0,,"Agios Pharmaceuticals misses by $0.39, misses on revenue","Agios Pharmaceuticals는 0.39달러 손실, 매출 손실"
2017-07-12,0,2,,IndexIQ Lowers Fees For Its Suite Of 5… Percent Currency Hedged International Equity ETFs,"IndexIQ, 5가지 제품군에 대한 수수료 인하… 퍼센트 통화 헤지 국제 주식 ETF"
2018-05-29,0,0,,"Gold Falls And Sits At The $1,300 Level","금 하락 및 $1,300 수준 유지"
2019-03-08,0,0,,US Steel Imports Drop in 2018 as First Year of Tariffs Nears,관세 첫 해가 다가옴에 따라 2018년 미국 철강 수입 감소
2019-10-11,0,3,,The EU Looks Ready For A Halloween Brexit,EU는 할로윈 브렉시트를 준비하고 있는 것으로 보입니다.
2015-08-06,0,0,,U.S. Gold Production Continues To Decline In April,미국의 4월 금 생산은 계속 감소하고 있습니다.
2019-05-14,0,3,,"Mission Wealth Management, Llc Buys PIMCO Enhanced Short Maturity Active Exchange-Trad, Fifth ...","Mission Wealth Management, Llc, PIMCO Enhanced Short Maturity Active Exchange-Trad, Fifth ... 인수"
2018-08-01,0,2,,"Kadant (KAI) Q2 Earnings Beat, Forex & Tariff Woes Hurt View","Kadant (KAI) 2분기 실적 하락, 외환 및 관세 문제 악화 전망"
2012-05-14,0,3,,"Donald Smith Buys Low P/B Stocks: EXC, WPX, AAV, RSH, VLO","Donald Smith, 저P/B 주식 매입: EXC, WPX, AAV, RSH, VLO"
2015-10-15,0,0,,Syngenta (SYT) Q3 Results Hurt by Currency & Credit Woes,Syngenta(SYT) 3분기 실적은 통화 및 신용 문제로 인해 타격을 입었습니다.
2019-04-29,0,0,,AllianceBernstein (AB) Stock Down 2.9% on Q1 Earnings Miss,AllianceBernstein (AB) 1분기 실적 부진으로 주가 2.9% 하락
2014-02-21,0,0,,Steiner Leisure (STNR) in Focus: Stock Plunged 11.4% - Tale of the Tape,초점이 맞는 Steiner Leisure(STNR): 주가가 11.4% 급락했습니다 - 테이프 이야기
2018-02-13,0,0,,Big outflow for popular senior loan ETF,인기 선순위 대출 ETF 대규모 유출
2018-06-21,0,3,,An IoT Company Trading At 11 Times Free Cash Flow,잉여현금흐름의 11배로 거래되는 IoT 회사
2018-12-09,0,3,,Don't Fall Into The Inverted Yield Curve Trap. It's Like Hotel California,역수익률 곡선의 함정에 빠지지 마십시오. 호텔캘리포니아같네요
2018-03-15,0,3,,Trouble In Paradise: Assured Guaranty's Exposure To Puerto Rican Debt Provides An Opportunity,낙원의 문제: 푸에르토리코 부채에 대한 보증 보장의 노출은 기회를 제공합니다
2015-07-05,0,2,,Swiss Gold Flows Counter Reports Of Slackening Gold Demand,금 수요 감소에 대한 스위스 금 흐름 반대 보고서
2019-11-06,0,0,,"Federal Agricultural Mortgage EPS misses by $0.03, misses on revenue","연방 농업 모기지 EPS는 0.03달러 손실, 수익 손실"
2018-07-02,0,0,,AES Corp. -2% after BAML downgrade,AES Corp. BAML 다운그레이드 후 -2%
2016-10-24,0,3,,Biotech Forum Daily Digest: Election Worries Overblown? Spotlight On Akorn,생명공학 포럼 데일리 다이제스트: 선거에 대한 우려가 과장되었나요? 스포트라이트 온 에이콘
2015-01-30,0,0,,"Acacia drops 8%, posts 26% decline for January","아카시아는 8% 하락, 1월에는 26% 하락 기록"
2015-02-06,0,3,,Take Advantage Of European Weakness - Cramer's Mad Money (2/5/15),유럽의 약점을 활용하세요 - Cramer의 Mad Money(2/5/15)
2013-02-25,0,3,,"A Deep Post-Decline Analysis, Part 3","심층적인 하락 후 분석, 3부"
2018-11-01,0,0,,"Agios Pharmaceuticals misses by $0.12, misses on revenue","Agios Pharmaceuticals는 0.12달러 손실, 매출 손실"
2019-01-22,0,2,,Chubb Releases Q4 Global Catastrophe Loss Estimate of $505M,"Chubb, 4분기 글로벌 재난 손실 추정액 5억 500만 달러 발표"
2018-07-09,0,0,,"AK Steel, Ryerson downgraded to Hold from Buy at Deutsche Bank","AK Steel, Ryerson은 Deutsche Bank에서 Buy에서 Hold로 하향 조정되었습니다."
2015-10-16,0,0,,"Winnebago's (WGO) Q4 Earnings Miss Estimates, Decline Y/Y",Winnebago(WGO)의 4분기 수익 추정치가 빗나가고 Y/Y 감소
2019-01-22,0,0,,Global Silver Production May Decline More Than Analysts' Forecasts,글로벌 은 생산량은 분석가들의 예측보다 더 많이 감소할 수 있습니다
2017-12-12,0,1,,AllianceBernstein sees modest inflows in November,AllianceBernstein은 11월에 소폭의 유입을 확인했습니다.
2018-12-08,0,3,,6 Low-P/E Stocks in Gurus' Portfolios,Gurus 포트폴리오의 6개 저P/E 주식
2019-02-14,0,0,,"Copa Holdings (CPA) Misses Q4 Earnings Estimates, Down Y/Y","Copa Holdings (CPA), Q4 수익 추정치를 Y/Y 감소로 놓쳤습니다"
2018-09-17,0,3,,Another $200 Billion In Tariffs Looks More Likely Than Not,추가로 2000억 달러의 관세가 부과될 가능성이 더 높아 보입니다.
2014-12-18,0,0,,Barrick to Suspend Operations at Lumwana Following Passage of New Mining Royalty,"Barrick, 새로운 광산 왕족의 계승으로 Lumwana의 운영 중단"
2015-12-03,0,2,,"Analog Devices selling $1.25B in debt, partly to refinance","Analog Devices, 부분적으로 재융자로 12억 5천만 달러 부채 매각"
2019-05-09,0,2,,"Assured Guaranty beats by $0.07, misses on revenue",Assured Guaranty가 $0.07 앞섰고 수익이 감소했습니다.
2018-07-11,0,1,,Cost Cuts to Aid Noodles & Company's (NDLS) Q2 Earnings,Noodles & Company(NDLS)의 2분기 수익 지원을 위한 비용 절감
2019-12-15,0,2,,Good News Becomes Bad News For REITs,좋은 소식은 REIT에 나쁜 소식이 됩니다
2017-02-17,0,0,,"UnitedHealth, Health Insurers Fall As DOJ Joins Whistleblower Suit","DOJ가 내부 고발자 소송에 합류함에 따라 UnitedHealth, 건강 보험사 하락"
2019-05-01,0,0,,"Southern Company (SO) Q1 Earnings In Line, Retail Sales Fall","Southern Company(SO) 1분기 실적은 정체, 소매 판매 감소"
2018-11-15,0,0,,Stocks Fall on Thursday,목요일에 주식 하락
2019-08-12,0,0,,"Corn futures, ag stocks plunge following bearish USDA report","USDA의 약세 보고서 이후 옥수수 선물, 농업 주식 급락"
2016-06-27,0,0,,"Biotech Forum Daily Digest: Biotech Tumbles On Brexit Vote, Spotlight On Agios Pharmaceuticals",생명공학 포럼 일일 다이제스트: 브렉시트 투표에서 생명공학이 하락하고 Agios Pharmaceuticals에 주목
2018-03-09,0,0,,"Pharma Stocks Weighed Down by Competition, Generic Pressure","경쟁, 일반적인 압력으로 인해 제약 주식이 위축됨"
2020-05-19,0,0,,Moderna Short Sellers Take $450M Hit Following Coronavirus Vaccine Data,Moderna 공매도자들은 코로나바이러스 백신 데이터에 따라 4억 5천만 달러의 히트를 기록했습니다.
2012-07-03,0,0,,"MUX, AAU, DNN: Stocks Heading Lower as US Factories Cut Output","MUX, AAU, DNN: 미국 공장의 생산량 감소로 주가 하락"
2015-01-12,0,3,,Five Below: Avoiding The Specialty Retail Trap,아래 5가지: 전문 소매업의 함정 피하기
2016-03-02,0,1,,Chinese Steel Cuts Mark A Likely Bottom In Steel Prices,중국 철강 감산으로 철강 가격이 바닥을 칠 가능성이 있음
2019-08-28,0,0,,Chalco's H1 aluminum production drops more than 8%,Chalco의 H1 알루미늄 생산량이 8% 이상 감소
2019-05-07,0,3,,"Advanced Emissions Solutions, Inc. 2019 Q1 - Results - Earnings Call Slides","Advanced Emissions Solutions, Inc. 2019년 1분기 - 결과 - 실적 발표 슬라이드"
2015-08-21,0,3,,Don't Fall For The Fallacy That The Gold Price Is Below The Cost Of Production,금 가격이 생산 비용보다 낮다는 오류에 빠지지 마십시오
2019-11-12,0,0,,Advance Auto Parts: Let It Fall,고급 자동차 부품: Let It Fall
2015-10-22,0,0,,"Caterpillar Q3 Earnings Lag Y/Y, Cuts 2015 EPS Guidance","Caterpillar Q3 수익은 Y/Y 지연, 2015 EPS 지침 인하"
2020-05-08,0,0,,Ares Commercial Real Estate (ACRE) Misses Q1 Earnings Estimates,Ares Commercial Real Estate (ACRE)가 1분기 수익 추정치를 놓쳤습니다.
2018-09-27,0,3,,Aehr Receives Follow-on Order for FOX-XP™ Wafer Level Test and Burn-in System for Production ...,"Aehr, FOX-XP™ 웨이퍼 레벨 테스트 및 생산용 번인 시스템에 대한 후속 주문을 받음"
2020-02-13,0,2,,U.S. Weekly FundFlows Insight Report: Taxable Bond Funds Drive Overall Net Inflows,미국 주간 FundFlows 통찰력 보고서: 과세 채권 자금이 전반적인 순 유입을 주도합니다
2018-05-18,0,0,,"Deere slightly lower as analysts digest earnings miss, 'tepid' guidance","분석가들이 실적 부진, '미지근한' 지침을 소화함에 따라 Deere는 약간 하락했습니다."
2018-08-13,0,0,,Cambium Learning Group (ABCD) Q2 Earnings Miss Estimates,Cambium Learning Group (ABCD) 2분기 실적 추정치 미스
2014-11-17,0,0,,"Guru Stocks at 52-Week Lows: IBM, BBL, SAN, ABEV, RIO","Guru 주식 52주 최저치: IBM, BBL, SAN, ABEV, RIO"
2012-10-05,0,0,,"F5, Adtran Shares Slide On Barclays Downgrade","F5, Barclays 다운그레이드에서 Adtran 주식 슬라이드"
2020-03-11,0,3,,Werner Lieberherr Takes Over as Chief Executive Officer of Landis+Gyr,Werner Lieberherr가 Landis+Gyr의 CEO로 취임
