date,Headline_and_Subtitle,Label,Reviewed_Label
2017-02-08,"Applied Genetic beats by $0.09, misses on revenue",0,0
2019-08-09,"Agenus (AGEN) Q2 Earnings Miss Estimates, Revenues Beat",0,0
2017-02-23,Acadia down 9% after hours on Q4 revenue miss,0,0
2017-01-26,Arthur J.Gallagher misses by $0.12,0,0
2016-04-26,Barrick Gold: Low-Cost Gold (For Now),0,0
2017-01-23,Auto parts retailers swing lower on Amazon anxiety,0,0
2015-04-28,"Alliance Holdings misses by $0.04, misses on revenue",0,0
2015-11-19,The Vetr community has downgraded $A to 4-Stars,0,0
2016-11-03,"AAC Holdings misses by $0.04, misses on revenue",0,0
2018-08-09,Farmer Mac slumps after Q2 miss,0,0
2015-08-06,"Agios Pharmaceuticals misses by $0.39, misses on revenue",0,0
2017-07-12,IndexIQ Lowers Fees For Its Suite Of 5… Percent Currency Hedged International Equity ETFs,0,0
2018-05-29,"Gold Falls And Sits At The $1,300 Level",0,0
2019-03-08,US Steel Imports Drop in 2018 as First Year of Tariffs Nears,0,0
2019-10-11,The EU Looks Ready For A Halloween Brexit,0,0
2015-08-06,U.S. Gold Production Continues To Decline In April,0,0
2019-05-14,"Mission Wealth Management, Llc Buys PIMCO Enhanced Short Maturity Active Exchange-Trad, Fifth ...",0,0
2018-08-01,"Kadant (KAI) Q2 Earnings Beat, Forex & Tariff Woes Hurt View",0,0
2012-05-14,"Donald Smith Buys Low P/B Stocks: EXC, WPX, AAV, RSH, VLO",0,0
2015-10-15,Syngenta (SYT) Q3 Results Hurt by Currency & Credit Woes,0,0
2019-04-29,AllianceBernstein (AB) Stock Down 2.9% on Q1 Earnings Miss,0,0
2014-02-21,Steiner Leisure (STNR) in Focus: Stock Plunged 11.4% - Tale of the Tape,0,0
2018-02-13,Big outflow for popular senior loan ETF,0,0
2018-06-21,An IoT Company Trading At 11 Times Free Cash Flow,0,0
2018-12-09,Don't Fall Into The Inverted Yield Curve Trap. It's Like Hotel California,0,0
2018-03-15,Trouble In Paradise: Assured Guaranty's Exposure To Puerto Rican Debt Provides An Opportunity,0,0
2015-07-05,Swiss Gold Flows Counter Reports Of Slackening Gold Demand,0,0
2019-11-06,"Federal Agricultural Mortgage EPS misses by $0.03, misses on revenue",0,0
2018-07-02,AES Corp. -2% after BAML downgrade,0,0
2016-10-24,Biotech Forum Daily Digest: Election Worries Overblown? Spotlight On Akorn,0,3
2015-01-30,"Acacia drops 8%, posts 26% decline for January",0,0
2015-02-06,Take Advantage Of European Weakness - Cramer's Mad Money (2/5/15),0,0
